RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
375.85504150390625,480.6811218261719,11709.5
375.0092468261719,475.2679443359375,11772.849609375
375.7610778808594,481.393310546875,11822.900390625
369.04180908203125,496.7781677246094,12024.0
373.22369384765625,494.8314514160156,12009.4501953125
375.0562438964844,485.9993591308594,11915.0
370.87432861328125,497.7278747558594,12209.2001953125
368.3370056152344,487.09149169921875,12043.9501953125
363.8731689453125,488.0411682128906,12154.5498046875
363.920166015625,477.83209228515625,11937.099609375
359.2214050292969,476.9299011230469,11857.25
352.7840270996094,465.6286315917969,11637.900390625
348.4141845703125,462.3997497558594,11814.099609375
352.36114501953125,459.31329345703125,11616.650390625
347.1925354003906,461.8774108886719,11644.400390625
347.42742919921875,465.5337219238281,11645.7001953125
341.2250671386719,461.1177062988281,11545.2998046875
345.8768310546875,460.12054443359375,11503.0498046875
338.0768737792969,450.62371826171875,11334.2001953125
329.66607666015625,446.77752685546875,11511.5
329.4781188964844,440.08221435546875,11325.099609375
327.0816955566406,433.38702392578125,11226.0
329.760009765625,442.31402587890625,11243.75
328.0214538574219,445.78033447265625,11175.2998046875
320.9733581542969,461.1651611328125,11361.0
326.4239501953125,479.2566223144531,11608.650390625
346.7696533203125,486.71160888671875,11704.9501953125
340.5672607421875,483.5301208496094,11623.349609375
347.0515441894531,484.4798278808594,11674.349609375
330.13592529296875,466.198486328125,11168.900390625
330.3708801269531,480.5860595703125,11570.349609375
327.97454833984375,483.6250915527344,11600.7998046875
331.02874755859375,482.86541748046875,11726.4501953125
334.55279541015625,488.1360778808594,
329.2431945800781,492.3147888183594,11690.7998046875
325.5781555175781,487.1864318847656,11612.9501953125
328.6323547363281,481.82073974609375,11566.599609375
327.1287536621094,477.9270324707031,11526.75
339.4395446777344,487.0439453125,11737.2001953125
346.1117858886719,493.9766845703125,11880.7998046875
334.5997619628906,480.7286071777344,11635.2001953125
338.40582275390625,485.9518737792969,11801.25
341.36602783203125,485.9043884277344,11839.150390625
347.6623840332031,512.2105712890625,12045.150390625
346.2527770996094,517.2437744140625,12088.599609375
350.8575134277344,520.6626586914062,12206.9501953125
347.239501953125,540.416015625,12353.599609375
362.5574645996094,552.9993286132812,12555.9501953125
359.08038330078125,540.0836181640625,12407.2998046875
356.8250427246094,540.890869140625,12443.900390625
352.7840270996094,536.759765625,12440.599609375
353.0660095214844,539.5138549804688,12366.0
349.87078857421875,547.2537841796875,12459.900390625
350.4346618652344,542.8853149414062,12432.599609375
346.5816650390625,547.5861206054688,12547.5
347.56842041015625,542.6002807617188,12602.400390625
345.59490966796875,546.0665893554688,12762.349609375
330.65283203125,524.746337890625,12278.150390625
333.5190734863281,539.7037353515625,12550.9501953125
345.0310974121094,545.6867065429688,12753.25
343.80938720703125,560.7393188476562,12908.9501953125
349.5888977050781,557.4154052734375,12874.349609375
344.89007568359375,560.881591796875,12843.900390625
344.2792663574219,554.61376953125,12823.900390625
346.6756591796875,562.5436401367188,12915.900390625
353.0189514160156,566.2474365234375,13001.9501953125
353.20697021484375,573.9873046875,13149.7998046875
354.1936950683594,573.0850219726562,13166.349609375
349.7298583984375,574.8419799804688,13118.099609375
344.6081848144531,571.6130981445312,13060.75
350.4816589355469,589.5620727539062,13271.5498046875
349.87078857421875,589.751953125,13412.349609375
349.0720520019531,578.97314453125,13244.7001953125
346.3937072753906,571.992919921875,13122.5498046875
349.682861328125,576.5039672851562,13232.5498046875
345.3599853515625,573.8922119140625,13014.25
339.4864807128906,552.192138671875,12653.5
347.1925354003906,566.5322875976562,12866.0498046875
381.49359130859375,564.775390625,12881.2001953125
391.1260681152344,553.5692138671875,12697.150390625
417.06329345703125,546.2566528320312,12542.099609375
398.5501403808594,556.8930053710938,12756.75
392.0658264160156,541.1282958984375,12495.900390625
389.3405456542969,535.9525146484375,12395.9501953125
378.8152770996094,556.7031860351562,12170.25
374.6333312988281,560.454345703125,12103.5498046875
386.38031005859375,578.783203125,12361.5498046875
394.650146484375,597.5393676757812,12706.650390625
383.98394775390625,599.7235717773438,12739.0498046875
387.3670654296875,602.81005859375,12950.650390625
384.077880859375,602.7151489257812,12971.0
378.5333251953125,597.3983154296875,12812.7998046875
378.43939208984375,600.751220703125,12905.5498046875
380.13092041015625,616.6058349609375,12929.7998046875
378.2044372558594,600.7991943359375,12785.75
394.0863037109375,601.134521484375,12745.099609375
392.39471435546875,604.6311645507812,12804.150390625
398.3621826171875,595.1470947265625,12584.349609375
396.059814453125,590.1655883789062,12517.5
390.5622253417969,581.783203125,12347.400390625
394.1802978515625,570.287353515625,12032.2998046875
390.6561584472656,578.6697387695312,12029.5
392.0188293457031,576.1791381835938,12035.849609375
391.1260681152344,583.9385986328125,12141.7001953125
390.4212646484375,569.6168823242188,11927.900390625
392.0658264160156,579.0529174804688,12092.7001953125
386.89715576171875,588.3933715820312,12257.2998046875
385.2995300292969,598.1168823242188,12379.599609375
386.5682678222656,592.9437255859375,12351.75
379.003173828125,585.5193481445312,12192.75
378.9092712402344,588.9680786132812,12239.849609375
379.2381286621094,586.8605346679688,12133.849609375
380.03692626953125,599.6975708007812,12313.25
379.5671081542969,587.8185424804688,12184.25
368.9478454589844,580.058837890625,12024.5
375.6200866699219,576.9932861328125,12013.0
365.9406433105469,560.1807861328125,11787.5
361.4298095703125,550.4093017578125,11514.4501953125
365.0478820800781,554.0016479492188,11667.099609375
360.91290283203125,566.1681518554688,11850.75
360.5369873046875,563.1503295898438,11907.2001953125
351.4214172363281,560.70751953125,11916.2998046875
344.9371337890625,551.5588989257812,11816.7998046875
341.1781005859375,562.5277709960938,11883.2001953125
345.8298645019531,572.5865478515625,12206.599609375
364.06109619140625,572.682373046875,12272.599609375
364.7189636230469,585.0882568359375,12377.099609375
363.45025634765625,583.2201538085938,12331.5
363.54425048828125,594.3807373046875,12548.599609375
363.96710205078125,594.9555053710938,12616.349609375
361.5237731933594,588.441162109375,12611.7001953125
379.7550354003906,609.9959106445312,12995.349609375
398.8790283203125,593.3268432617188,12961.849609375
404.517578125,600.99072265625,12807.5
390.3273010253906,606.642822265625,12987.0498046875
387.9778747558594,618.9050903320312,13234.25
375.2912292480469,613.7320556640625,13256.25
448.9210205078125,618.04296875,13426.900390625
435.6234436035156,613.0614624023438,13378.9501953125
438.44268798828125,611.1455078125,13319.75
427.823486328125,608.0319213867188,13203.849609375
438.3017578125,612.3908081054688,13296.75
452.11614990234375,616.3665161132812,13252.9501953125
460.7149353027344,617.4202270507812,13298.650390625
455.87518310546875,626.9521484375,13469.25
439.5234680175781,631.5026245117188,13507.4501953125
422.7488098144531,618.04296875,13234.75
423.2187194824219,654.685791015625,13779.7001953125
424.86328125,650.8539428710938,13747.75
423.5945739746094,650.9017333984375,13747.099609375
424.957275390625,668.8638916015625,14131.849609375
426.22589111328125,678.347900390625,14066.650390625
416.7344055175781,673.3185424804688,14065.0498046875
405.3633728027344,662.3975830078125,13885.5
408.887451171875,658.2781982421875,13858.7001953125
413.3982238769531,661.7748413085938,13832.400390625
407.75970458984375,673.8453979492188,14001.349609375
431.11260986328125,657.9907836914062,13970.2001953125
423.45361328125,661.3917236328125,13993.7001953125
424.1584777832031,661.9185180664062,14034.650390625
421.9030456542969,666.8521728515625,14090.099609375
419.694580078125,674.2285766601562,14127.25
421.2452087402344,670.1092529296875,14100.0498046875
421.0102844238281,641.6093139648438,13934.099609375
414.90185546875,640.2202758789062,14051.75
416.02960205078125,642.8545532226562,14058.0498046875
418.0970153808594,648.9857177734375,14151.849609375
415.13677978515625,647.11767578125,14114.400390625
413.91510009765625,645.6328125,14101.5498046875
415.32476806640625,646.973876953125,14069.0
403.9537048339844,650.2310791015625,14189.849609375
406.3970642089844,644.5790405273438,14118.900390625
409.310302734375,647.6444702148438,14313.900390625
438.2077941894531,652.6739501953125,14464.0498046875
445.8197937011719,648.650390625,14449.599609375
437.8318786621094,644.914306640625,14322.650390625
431.2536315917969,640.4596557617188,14215.7001953125
419.271728515625,637.106689453125,14081.599609375
418.8488464355469,640.4118041992188,14030.599609375
419.9295349121094,643.1420288085938,14082.9501953125
423.4066162109375,638.7831420898438,14095.0
434.0258483886719,637.2984008789062,14018.0498046875
428.85723876953125,636.8672485351562,13967.9501953125
426.0849609375,644.0042724609375,14069.599609375
421.4331359863281,647.884033203125,14247.599609375
420.86932373046875,649.1295166015625,14330.2001953125
423.6885681152344,647.0697631835938,14308.900390625
416.02960205078125,655.4041748046875,14442.4501953125
416.2645568847656,652.6260375976562,14529.650390625
419.9765319824219,651.6202392578125,14528.5
418.8018493652344,644.9623413085938,14406.9501953125
418.1910095214844,651.5244140625,14453.2001953125
420.68133544921875,638.8789672851562,14269.2998046875
427.8704528808594,639.8369750976562,14360.2001953125
437.69091796875,640.4596557617188,14372.2001953125
435.1065979003906,654.3025512695312,14460.0498046875
435.9053955078125,657.1286010742188,14507.0
440.6041564941406,654.3025512695312,14467.4501953125
434.16680908203125,659.667236328125,14635.0498046875
430.5957946777344,660.2898559570312,14669.900390625
422.9837951660156,648.0277709960938,14479.2001953125
433.7439270019531,658.4218139648438,14575.400390625
433.2270812988281,664.8403930664062,14597.849609375
435.4355163574219,673.8453979492188,14652.5498046875
473.91845703125,659.3798217773438,14018.650390625
455.2643737792969,658.90087890625,13964.75
477.7244873046875,673.4622802734375,13920.349609375
478.66424560546875,741.4312133789062,14425.2998046875
480.9666442871094,742.4369506835938,14474.9501953125
470.06549072265625,761.405029296875,14647.849609375
474.623291015625,752.7352905273438,14594.349609375
471.05224609375,753.1185913085938,14579.849609375
472.60284423828125,752.2084350585938,14517.5
485.71234130859375,755.6572875976562,14533.4501953125
478.4292907714844,760.0159912109375,14502.900390625
506.48101806640625,746.7958374023438,14291.150390625
511.41473388671875,745.9336547851562,14133.0498046875
512.3194580078125,745.5984497070312,14049.0498046875
492.2247009277344,747.9932861328125,13965.400390625
492.605712890625,751.20263671875,14041.25
500.367431640625,750.0050659179688,14071.349609375
483.41546630859375,729.1689453125,13711.150390625
457.6542663574219,729.3610229492188,13700.599609375
469.7967834472656,740.8871459960938,13876.0498046875
473.4157409667969,738.677978515625,13830.5
470.41583251953125,730.513671875,13758.599609375
477.5585021972656,741.3192749023438,13948.7001953125
476.0823059082031,756.1112060546875,14222.5
475.60614013671875,762.690673828125,14344.75
540.7948608398438,757.35986328125,14319.849609375
530.4617919921875,758.7525024414062,14458.5
582.7937622070312,758.2242431640625,14485.650390625
594.7457885742188,753.277587890625,14481.5498046875
600.4598999023438,739.494384765625,14387.349609375
580.6510009765625,746.746337890625,14349.4501953125
581.9366455078125,745.6416015625,14329.849609375
583.1746826171875,749.483642578125,14377.0498046875
583.5079956054688,750.5402221679688,14410.9501953125
590.9839477539062,749.81982421875,14487.900390625
645.69677734375,750.2040405273438,14491.349609375
