Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
0.0,20.5,0.0
0.0,20.2,0.0
0.0,19.4,0.0
0.0,19.1,0.0
0.0,18.8,0.0
0.0,18.2,0.0
0.0,18.9,0.0
1.0,18.5,0.75
94.0,21.3,70.5
295.0,25.0,221.25
495.0,28.6,371.25
653.0,31.0,489.75
750.0,32.2,562.5
776.0,32.9,582.0
730.0,33.3,547.5
616.0,33.5,462.0
444.0,33.1,333.0
239.0,31.8,179.25
52.0,27.1,39.0
0.0,27.5,0.0
0.0,24.9,0.0
0.0,23.7,0.0
0.0,22.6,0.0
0.0,21.9,0.0
0.0,20.9,0.0
0.0,20.4,0.0
0.0,20.1,0.0
0.0,19.2,0.0
0.0,18.8,0.0
0.0,18.8,0.0
0.0,18.6,0.0
2.0,18.9,1.5
97.0,21.2,72.75
296.0,24.3,222.0
495.0,27.9,371.25
652.0,30.9,489.0
749.0,32.5,561.75
776.0,33.4,582.0
731.0,34.0,548.25
616.0,34.2,462.0
445.0,34.2,333.75
240.0,33.1,180.0
54.0,29.4,40.5
0.0,27.0,0.0
0.0,25.3,0.0
0.0,25.9,0.0
0.0,25.6,0.0
0.0,24.8,0.0
0.0,23.9,0.0
0.0,22.9,0.0
0.0,21.1,0.0
0.0,21.0,0.0
0.0,20.1,0.0
0.0,19.5,0.0
0.0,19.7,0.0
2.0,19.5,1.5
98.0,21.8,73.5
298.0,24.5,223.5
496.0,27.1,372.0
654.0,29.0,490.5
752.0,30.4,564.0
778.0,31.4,583.5
731.0,32.3,548.25
617.0,33.0,462.75
448.0,32.5,336.0
245.0,31.0,183.75
55.0,28.2,41.25
0.0,26.1,0.0
0.0,26.8,0.0
0.0,25.8,0.0
0.0,24.4,0.0
0.0,23.1,0.0
0.0,22.6,0.0
0.0,22.1,0.0
0.0,21.6,0.0
0.0,20.9,0.0
0.0,20.3,0.0
0.0,20.1,0.0
0.0,20.4,0.0
2.0,20.0,1.5
98.0,22.2,73.5
298.0,25.0,223.5
497.0,27.9,372.75
655.0,29.6,491.25
753.0,30.7,564.75
781.0,31.8,585.75
735.0,32.6,551.25
616.0,33.2,462.0
451.0,32.8,338.25
247.0,31.5,185.25
57.0,28.4,42.75
0.0,26.5,0.0
0.0,24.9,0.0
0.0,24.5,0.0
0.0,24.0,0.0
0.0,23.0,0.0
0.0,22.1,0.0
0.0,21.4,0.0
0.0,20.8,0.0
0.0,20.3,0.0
0.0,19.9,0.0
0.0,19.3,0.0
0.0,19.1,0.0
2.0,19.2,1.5
97.0,21.8,72.75
290.0,24.5,217.5
504.0,27.4,378.0
663.0,29.3,497.25
761.0,30.5,570.75
787.0,31.2,590.25
743.0,31.8,557.25
622.0,32.0,466.5
448.0,31.6,336.0
247.0,30.9,185.25
55.0,27.5,41.25
0.0,26.5,0.0
0.0,25.4,0.0
0.0,24.4,0.0
0.0,23.8,0.0
0.0,23.3,0.0
0.0,23.0,0.0
0.0,22.5,0.0
0.0,22.0,0.0
0.0,21.4,0.0
0.0,20.5,0.0
0.0,19.8,0.0
0.0,19.6,0.0
2.0,19.5,1.5
96.0,21.2,72.0
285.0,23.5,213.75
502.0,25.8,376.5
673.0,27.6,504.75
771.0,29.0,578.25
791.0,29.8,593.25
733.0,30.2,549.75
631.0,30.5,473.25
465.0,30.2,348.75
252.0,29.4,189.0
60.0,26.6,45.0
0.0,25.4,0.0
0.0,24.4,0.0
0.0,23.4,0.0
0.0,22.6,0.0
0.0,21.8,0.0
0.0,21.1,0.0
0.0,20.4,0.0
0.0,19.9,0.0
0.0,19.5,0.0
0.0,19.0,0.0
0.0,18.6,0.0
0.0,18.5,0.0
2.0,18.2,1.5
84.0,19.5,63.0
273.0,22.2,204.75
510.0,25.4,382.5
675.0,27.8,506.25
778.0,29.2,583.5
807.0,30.1,605.25
760.0,30.5,570.0
643.0,30.7,482.25
468.0,30.6,351.0
259.0,30.0,194.25
63.0,26.4,47.25
0.0,24.6,0.0
0.0,23.6,0.0
0.0,22.6,0.0
0.0,22.4,0.0
0.0,21.5,0.0
0.0,20.5,0.0
0.0,19.5,0.0
0.0,18.8,0.0
0.0,18.2,0.0
0.0,17.8,0.0
0.0,17.5,0.0
0.0,17.1,0.0
3.0,16.9,2.25
111.0,18.7,83.25
324.0,21.3,243.0
532.0,24.1,399.0
696.0,26.7,522.0
797.0,28.8,597.75
825.0,29.9,618.75
776.0,30.5,582.0
656.0,30.8,492.0
479.0,30.8,359.25
265.0,30.1,198.75
65.0,27.2,48.75
0.0,24.5,0.0
0.0,22.9,0.0
0.0,22.2,0.0
0.0,22.2,0.0
0.0,21.4,0.0
0.0,20.8,0.0
0.0,20.4,0.0
0.0,19.7,0.0
0.0,19.0,0.0
0.0,18.5,0.0
0.0,18.0,0.0
0.0,17.9,0.0
3.0,17.5,2.25
111.0,19.5,83.25
316.0,22.1,237.0
519.0,24.9,389.25
693.0,27.3,519.75
798.0,29.1,598.5
826.0,30.4,619.5
780.0,31.0,585.0
661.0,31.2,495.75
483.0,31.1,362.25
268.0,30.5,201.0
67.0,26.7,50.25
0.0,25.5,0.0
0.0,24.8,0.0
0.0,24.2,0.0
0.0,23.4,0.0
0.0,22.5,0.0
0.0,21.7,0.0
0.0,21.0,0.0
0.0,20.5,0.0
0.0,20.2,0.0
0.0,19.7,0.0
0.0,19.0,0.0
0.0,17.8,0.0
3.0,17.5,2.25
108.0,19.6,81.0
310.0,22.3,232.5
514.0,25.1,385.5
690.0,27.8,517.5
791.0,29.8,593.25
820.0,31.0,615.0
776.0,31.5,582.0
652.0,31.9,489.0
481.0,31.5,360.75
262.0,30.1,196.5
65.0,26.7,48.75
0.0,24.9,0.0
0.0,23.5,0.0
0.0,22.9,0.0
0.0,22.6,0.0
0.0,20.5,0.0
0.0,19.6,0.0
0.0,19.0,0.0
0.0,19.9,0.0
0.0,18.4,0.0
0.0,18.6,0.0
0.0,18.1,0.0
0.0,18.4,0.0
3.0,19.4,2.25
105.0,20.5,78.75
279.0,23.0,209.25
460.0,25.4,345.0
649.0,27.9,486.75
757.0,29.4,567.75
756.0,30.2,567.0
722.0,31.0,541.5
625.0,31.5,468.75
442.0,31.3,331.5
246.0,30.4,184.5
61.0,27.5,45.75
0.0,26.3,0.0
0.0,25.4,0.0
0.0,24.4,0.0
0.0,23.5,0.0
0.0,22.9,0.0
0.0,21.9,0.0
0.0,21.2,0.0
0.0,20.5,0.0
0.0,19.8,0.0
0.0,19.4,0.0
0.0,18.4,0.0
0.0,18.0,0.0
4.0,18.0,3.0
116.0,20.5,87.0
